Product ID,"Image URLs (x,y,z...)",Name *,Kategoria,index #,Price tax excluded,Price tax included,Quantity,Active (0/1)
44,http://localhost/img/p/Kękę – Trzecie Rzeczy.jpg,Kękę – Trzecie Rzeczy,muzyka,demo_44,"44,99 zł","44,99 zł",131,1
45,http://localhost/img/p/Kuba Knap - Knurion.jpg,Kuba Knap - Knurion,muzyka,demo_45,"44,99 zł","44,99 zł",619,1
46,http://localhost/img/p/Kuba Knap - Ludzie mówią różne rzeczy.jpg,Kuba Knap - Ludzie mówią różne rzeczy,muzyka,demo_46,"34,99 zł","34,99 zł",298,1
47,http://localhost/img/p/Małpa - Blur.jpg,Małpa - Blur,muzyka,demo_47,"44,99 zł","44,99 zł",771,1
48,http://localhost/img/p/Małpa - Mówi.jpg,Małpa - Mówi,muzyka,demo_48,"34,99 zł","34,99 zł",41,1
49,http://localhost/img/p/Mata - 100 dni do matury.jpg,Mata - 100 dni do matury,muzyka,demo_49,"44,99 zł","44,99 zł",826,1
50,http://localhost/img/p/Mata - Młody Matczak (standard).jpg,Mata - Młody Matczak (standard),muzyka,demo_50,"44,99 zł","44,99 zł",449,1
51,http://localhost/img/p/Moli - Jak spadały gwiazdy (standard).jpg,Moli - Jak spadały gwiazdy (standard),muzyka,demo_51,"44,99 zł","44,99 zł",987,1
52,http://localhost/img/p/Neile - Kicktape 2.0.jpg,Neile - Kicktape 2.0,muzyka,demo_52,"29,99 zł","29,99 zł",433,1
53,http://localhost/img/p/O.S.T.R. - 7.jpg,O.S.T.R. - 7,muzyka,demo_53,"34,99 zł","34,99 zł",400,1
54,http://localhost/img/p/O.S.T.R. - Jazz w wolnych chwilach 2CD.jpg,O.S.T.R. - Jazz w wolnych chwilach 2CD,muzyka,demo_54,"44,99 zł","44,99 zł",103,1
55,http://localhost/img/p/O.S.T.R. - Jazzurekcja.jpg,O.S.T.R. - Jazzurekcja,muzyka,demo_55,"34,99 zł","34,99 zł",708,1
56,http://localhost/img/p/O.S.T.R. - Masz to jak w banku.jpg,O.S.T.R. - Masz to jak w banku,muzyka,demo_56,"34,99 zł","34,99 zł",633,1
57,http://localhost/img/p/O.S.T.R. - Tabasko.jpg,O.S.T.R. - Tabasko,muzyka,demo_57,"34,99 zł","34,99 zł",834,1
58,http://localhost/img/p/Paluch - 1029.jpg,Paluch - 10/29,muzyka,demo_58,"29,99 zł","29,99 zł",113,1
59,http://localhost/img/p/Paluch - Złota Owca.jpg,Paluch - Złota Owca,muzyka,demo_59,"34,99 zł","34,99 zł",542,1
60,http://localhost/img/p/Pezet - Muzyka rozrywkowa (2CD).jpg,Pezet - Muzyka rozrywkowa (2CD),muzyka,demo_60,"44,99 zł","44,99 zł",332,1
61,http://localhost/img/p/PezetNoon - Muzyka Poważna.jpg,Pezet/Noon - Muzyka Poważna,muzyka,demo_61,"34,99 zł","34,99 zł",696,1
62,http://localhost/img/p/PlanBe - Insomnia.jpg,PlanBe - Insomnia,muzyka,demo_62,"36,99 zł","36,99 zł",736,1
63,http://localhost/img/p/Quebonafide - Egzotyka (wersja standard 1 CD).jpg,Quebonafide - Egzotyka (wersja standard 1 CD),muzyka,demo_63,"44,99 zł","44,99 zł",62,1
